h,m,s,RA,d,arc m,arc s,DEC,F60,h,m,s,d,arc m,arc s,F100,T,"B(V,T)",M,
12,38,55.23,189.730125,-41,16,15.1,-40.72913889,1.5599,12,38,55.23,-41,16,15.1,6.8302,23.81625546,9.45708E-16,4.1151E+26,0.041151042
12,38,54.87,189.728625,-41,17,48.6,-40.70316667,1.5646,12,38,54.87,-41,17,48.6,6.9036,23.77096124,9.34856E-16,4.20761E+26,0.042076083
12,38,54.21,189.725875,-41,19,11.4,-40.68016667,1.6498,12,38,54.21,-41,19,7.8,7.0595,23.95300255,9.78983E-16,4.10869E+26,0.041086873
12,38,53.53,189.7230417,-41,20,41.4,-40.65516667,1.6714,12,38,53.53,-41,20,41.4,7.1039,23.99333915,9.88947E-16,4.09287E+26,0.040928749
12,38,52.86,189.72025,-41,22,22.2,-40.62716667,1.6876,12,38,52.86,-41,22,18.6,7.1681,23.99723226,9.89912E-16,4.12584E+26,0.041258367
12,38,51.87,189.716125,-41,23,44.9,-40.60419444,1.7385,12,38,51.87,-41,23,44.9,7.2524,24.10583731,1.01709E-15,4.0628E+26,0.040628047
12,38,51.52,189.7146667,-41,25,7.7,-40.58119444,1.7853,12,38,51.52,-41,25,7.7,7.4039,24.14153859,1.02613E-15,4.11112E+26,0.041111244
12,38,48.66,189.70275,-41,10,11.2,-40.83022222,1.7601,12,38,48.66,-41,10,11.2,7.5782,23.91609518,9.69926E-16,4.45176E+26,0.044517603
12,38,48.3,189.70125,-41,11,44.7,-40.80425,1.6504,12,38,48.3,-41,11,44.7,7.0629,23.95229799,9.7881E-16,4.11139E+26,0.041113944
12,38,47.31,189.697125,-41,13,21.9,-40.77725,1.5562,12,38,47.31,-41,13,21.9,6.8385,23.7950675,9.40621E-16,4.14239E+26,0.041423861
12,38,47.28,189.697,-41,14,37.5,-40.75625,1.5451,12,38,47.28,-41,14,37.5,6.8845,23.71358733,9.21231E-16,4.25803E+26,0.042580267
12,38,46.93,189.6955417,-41,16,7.5,-40.73125,1.5266,12,38,46.93,-41,16,7.5,6.8501,23.67244247,9.11543E-16,4.28178E+26,0.04281781
12,38,45.93,189.691375,-41,17,48.2,-40.70327778,1.5591,12,38,45.93,-41,17,48.2,7.0749,23.60710288,8.96299E-16,4.49751E+26,0.044975094
12,38,45.58,189.6899167,-41,19,11,-40.68027778,1.6165,12,38,45.58,-41,19,11,7.0734,23.82012193,9.46638E-16,4.25744E+26,0.042574411
12,38,45.22,189.6884167,-41,20,48.2,-40.65327778,1.6506,12,38,45.22,-41,20,48.2,7.226,23.81735132,9.45972E-16,4.35236E+26,0.043523553
